Lead Actor,Movie Count,Total Budget,Total Revenue,Total Profit,Avg ROI,Avg Rating,Success Rate,FB Likes
Johnny Depp,54,3492900000,9813357822,6320457822,inf,6.576851851851852,75.9,40000
Leonardo DiCaprio,27,1684500000,8452232100,6767732100,inf,7.207407407407407,92.6,29000
Tom Hanks,34,1743245000,8106892540,6363647540,inf,7.035294117647059,97.1,15000
Tom Cruise,25,1795800000,7890739634,6094939634,512.6232,6.832000000000001,96.0,10000
Chris Hemsworth,28,2010000000,7677057830,5667057830,inf,6.880357142857143,85.7,26000
J.K. Simmons,34,1985525000,7659639505,5674114505,inf,6.4676470588235295,82.4,24000
Jim Parsons,46,1378600000,6527374183,5148774183,inf,6.458695652173914,65.2,17000
Will Smith,22,1983100028,6278672216,4295572188,inf,6.497727272727272,86.4,10000
Robert Pattinson,13,825000000,6150040030,5325040030,inf,6.18076923076923,84.6,21000
Bruce Willis,52,2130879783,5990869293,3859989510,inf,6.5317307692307685,75.0,13000
Robert Downey Jr.,29,1628500000,5964980347,4336480347,inf,6.6689655172413795,82.8,21000
Scarlett Johansson,38,1618400000,5820939372,4202539372,inf,6.507894736842106,84.2,19000
Harrison Ford,26,1421227000,5669896061,4248669061,1114.9353846153847,6.792307692307692,92.3,11000
Jennifer Lawrence,18,1252450000,5359790505,4107340505,inf,6.75,88.9,34000
Robert De Niro,52,1587094005,4880175688,3293081683,inf,6.489423076923076,71.2,22000
John Ratzenberger,22,880000000,4865452913,3985452913,inf,7.1840909090909095,90.9,1000
Liam Neeson,32,1506000000,4590083390,3084083390,inf,6.190625,84.4,14000
Robin Williams,26,1275100000,4338462113,3063362113,inf,6.119230769230769,73.1,49000
Steve Buscemi,28,1450700000,4125347214,2674647214,inf,6.396428571428571,60.7,12000
Hugh Jackman,24,1864000000,4114071147,2250071147,inf,6.5562499999999995,79.2,20000
Matt Damon,36,1705950000,4063964514,2358014514,inf,6.709722222222222,69.4,13000
Jason Statham,39,1108650000,3765512614,2656862614,inf,6.293589743589743,82.1,26000
Natalie Portman,22,788900000,3553589320,2764689320,inf,6.534090909090909,68.2,20000
Angelina Jolie Pitt,18,1158000000,3319615328,2161615328,inf,6.458333333333333,66.7,11000
Nicolas Cage,38,1802227000,3296257341,1494030341,inf,6.0434210526315795,63.2,12000
Morgan Freeman,23,1280500000,3215512171,1935012171,279.8582608695652,6.534782608695653,78.3,11000
Tom Hardy,21,886130000,3158907954,2272777954,inf,6.819047619047619,76.2,27000
Brad Pitt,17,1140000000,3157933413,2017933413,147.62058823529412,6.920588235294118,70.6,11000
Glenn Morshower,6,560000000,3155799064,2595799064,inf,5.641666666666667,100.0,894
Henry Cavill,11,857377800,3142475928,2285098128,2380.453636363636,6.554545454545454,81.8,15000
Dwayne Johnson,21,1309000000,3135804024,1826804024,150.38285714285715,5.947619047619048,76.2,12000
Denzel Washington,35,1512500000,3064530879,1552030879,inf,6.841428571428572,74.3,18000
Aidan Turner,4,810000000,3026088777,2216088777,231.28750000000002,7.15,100.0,5000
CCH Pounder,3,337000000,3021042698,2684042698,inf,6.616666666666667,100.0,1000
