Director,Movie Count,Total Budget,Total Revenue,Total Profit,Avg ROI,Avg Rating,Success Rate,FB Likes
Peter Jackson,13,1772000000,8069187658,6297187658,inf,7.46923076923077,92.3,0
Michael Bay,25,2011000000,7762109745,5751109745,inf,6.18,88.0,0
Steven Spielberg,23,1531500000,7061891727,5530391727,778.3504347826088,7.195652173913044,95.7,14000
James Cameron,7,722000000,6939226388,6217226388,inf,7.221428571428571,100.0,0
Tim Johnson,46,1453100000,6865288131,5412188131,inf,6.458695652173914,67.4,12
Sam Raimi,13,1467000000,6002900605,4535900605,inf,6.476923076923077,92.3,0
Pete Docter,22,942000000,5728825175,4786825175,inf,7.229545454545455,95.5,0
Christopher Nolan,9,1008500000,4760799295,3752299295,1939.1055555555556,8.122222222222222,100.0,22000
Tim Burton,24,1265800000,4630904870,3365104870,271.6504166666667,6.472916666666666,83.3,13000
Joss Whedon,4,759000000,4483388978,3724388978,395.75500000000005,7.65,75.0,0
Sam Mendes,9,864000000,3952167869,3088167869,inf,6.872222222222223,88.9,0
Ridley Scott,18,1469000000,3796370583,2327370583,inf,6.669444444444444,83.3,0
Robert Zemeckis,16,1057000000,3674570417,2617570417,372.491875,7.0625,87.5,0
Francis Lawrence,6,678000000,3643667874,2965667874,445.69666666666666,6.891666666666667,100.0,508
Jon Favreau,9,702000000,3400021275,2698021275,inf,6.838888888888889,88.9,4000
Gore Verbinski,10,1145000000,3238430606,2093430606,inf,6.565,70.0,563
Zack Snyder,11,930377800,3199445782,2269067982,2400.280909090909,6.6863636363636365,90.9,0
Ron Howard,14,908000000,2961523667,2053523667,inf,6.671428571428572,71.4,2000
Roland Emmerich,9,868500000,2961284332,2092784332,inf,6.016666666666667,77.8,776
David Yates,8,863000000,2949751651,2086751651,306.66125,6.5625,87.5,282
Brett Ratner,16,1204900000,2839419860,1634519860,inf,6.175,81.2,420
David Fincher,22,752005538,2827665863,2075660325,inf,7.320454545454546,86.4,21000
J.J. Abrams,16,902500000,2818284887,1915784887,inf,7.171875,93.8,14000
Martin Campbell,11,1022000000,2690041959,1668041959,155.42000000000002,6.786363636363637,81.8,258
Brad Bird,6,669000000,2687191917,2018191917,569.9816666666667,7.308333333333334,83.3,663
Eric Darnell,6,637000000,2687082264,2050082264,323.595,6.55,100.0,35
Bill Condon,8,422000000,2623392213,2201392213,inf,6.175,75.0,386
Clint Eastwood,22,762300000,2586282990,1823982990,inf,6.997727272727272,81.8,16000
George Lucas,5,393777000,2581016775,2187239775,3930.7200000000003,6.62,80.0,0
Carlos Saldanha,4,363000000,2532451792,2169451792,608.8725,6.5625,100.0,107
M. Night Shyamalan,11,667000000,2517953042,1850953042,inf,6.013636363636365,90.9,0
Martin Scorsese,24,885100000,2274855055,1389755055,inf,7.322916666666667,75.0,17000
Lana Wachowski,8,728500003,2266296778,1537796775,278.64,6.64375,75.0,0
Rob Cohen,14,976000000,2263680803,1287680803,167.58857142857144,5.953571428571429,85.7,357
Barry Sonnenfeld,9,765250000,2255940278,1490690278,212.50444444444443,6.316666666666666,77.8,188
James Wan,5,268000000,2244968799,1976968799,1059.142,7.090000000000001,80.0,0
Jonathan Liebesman,11,848000000,2228625490,1380625490,162.5681818181818,5.754545454545454,100.0,473
Shawn Levy,11,652800000,2213198483,1560398483,inf,5.822727272727272,90.9,189
Andrew Adamson,5,558500000,2162874174,1604374174,inf,6.65,100.0,80
Rob Marshall,10,705000000,2104600309,1399600309,856.717,6.2700000000000005,80.0,252
Bryan Singer,6,974000000,2104183925,1130183925,151.16833333333332,6.916666666666667,100.0,0
Chris Buck,4,177220000,2081189160,1903969160,inf,6.8375,75.0,69
Tony Scott,15,755634033,2066264966,1310630933,374.50600000000003,6.5233333333333325,73.3,12000
Anthony Russo,6,575200000,2053856937,1478656937,122.06166666666667,6.866666666666667,66.7,94
Steven Soderbergh,17,640800000,2044358372,1403558372,276.79470588235296,6.6000000000000005,88.2,0
Chris Columbus,9,488000000,2028784046,1540784046,inf,6.438888888888889,55.6,0
Mike Mitchell,6,352000000,1969982389,1617982389,inf,5.925,100.0,31
Alfonso CuarÃ³n,5,316000000,1883858653,1567858653,inf,7.37,80.0,0
Joe Johnston,5,546000000,1829491528,1283491528,354.21999999999997,6.3100000000000005,80.0,394
Shane Black,4,355000000,1820635201,1465635201,inf,7.125,100.0,1000
Robert Schwentke,19,814241000,1794493644,980252644,inf,6.568421052631579,68.4,124
Mike Newell,8,524000000,1778371736,1254371736,619.26625,6.70625,62.5,179
Colin Trevorrow,3,223750000,1746611126,1522861126,519.0633333333334,6.75,100.0,365
Andrew Stanton,3,534000000,1745786496,1211786496,366.42,7.45,100.0,475
Jay Roach,8,344500000,1722550236,1378050236,inf,6.26875,87.5,116
Kenneth Branagh,16,533000000,1676575236,1143575236,inf,6.971875,87.5,0
Wolfgang Petersen,7,631000000,1615016083,984016083,200.21857142857144,6.714285714285714,85.7,249
Ang Lee,11,511160000,1598501042,1087341042,inf,6.945454545454546,81.8,0
Christopher McQuarrie,5,358500000,1595833089,1237333089,295.962,6.83,100.0,188
George Miller,8,588400000,1592652345,1004252345,3300.985,6.70625,87.5,750
Paul W.S. Anderson,16,697300000,1588690291,891390291,inf,6.009375,75.0,545
Garry Marshall,9,339000000,1570550656,1231550656,inf,5.883333333333334,77.8,0
John Lasseter,4,458000000,1554945722,1096945722,223.005,6.7375,75.0,487
Alan Taylor,3,475000000,1534501557,1059501557,220.99,6.666666666666667,100.0,230
Marc Webb,3,422500000,1518656023,1096156023,404.1233333333333,6.983333333333333,100.0,464
Raja Gosnell,5,319000000,1517582643,1198582643,inf,5.12,100.0,67
Pierre Coffin,2,145000000,1514275870,1369275870,932.51,7.275,100.0,275
Simon West,11,645000000,1512298107,867298107,inf,5.9363636363636365,81.8,165
Steve Martino,3,253000000,1506735031,1253735031,507.24333333333334,6.7,100.0,20
Quentin Tarantino,8,295200000,1501630797,1206430797,721.5125,7.9875,100.0,16000
Oliver Stone,17,576500000,1480832765,904332765,inf,6.591176470588235,82.4,0
Dean DeBlois,4,390000000,1467161331,1077161331,inf,7.35,100.0,255
Dennis Dugan,10,483700000,1466064949,982364949,inf,5.765,90.0,221
Peter Berg,9,601500000,1448353975,846853975,501.53222222222223,6.444444444444445,66.7,532
Lee Unkrich,2,230000000,1440523736,1210523736,789.33,7.975,100.0,125
Joel Schumacher,13,584500000,1437036597,852536597,inf,6.2846153846153845,84.6,541
Tom Shadyac,8,440000000,1434770927,994770927,inf,6.3375,75.0,293
Doug Liman,10,496650000,1428055687,931405687,378.034,6.81,90.0,218
Phil Lord,6,365000000,1420383920,1055383920,299.95,6.991666666666667,100.0,97
Paul Greengrass,7,435000000,1413751482,978751482,inf,7.257142857142857,85.7,521
Richard Donner,15,605600000,1381966728,776366728,inf,6.533333333333333,73.3,503
Matt Reeves,6,338000000,1376052366,1038052366,284.3233333333333,6.558333333333334,83.3,198
Guy Ritchie,9,357350000,1373159250,1015809250,373.8,7.111111111111111,88.9,0
Chris Miller,2,290000000,1353945642,1063945642,363.13,6.3,100.0,50
Renny Harlin,12,661000000,1338655100,677655100,487.0216666666667,5.854166666666667,50.0,212
Bobby Farrelly,11,423000000,1338217899,915217899,352.53,5.959090909090909,72.7,101
Todd Phillips,7,300000000,1320393375,1020393375,391.4428571428571,6.328571428571428,85.7,480
Nancy Meyers,6,372000000,1320302667,948302667,288.5466666666667,6.6499999999999995,100.0,278
Jennifer Yuh Nelson,2,280000000,1297436841,1017436841,364.875,7.05,100.0,90
Marc Forster,6,485500000,1290903411,805403411,102.22000000000001,6.75,66.7,395
Jon Turteltaub,10,429638783,1289863316,860224533,479.151,6.495,90.0,226
Chris Weitz,3,257000000,1211062326,954062326,601.41,5.966666666666666,100.0,129
Edward Zwick,13,528000000,1179552940,651552940,64.72692307692309,7.0076923076923086,46.2,380
Roger Allers,3,198490000,1179227961,980737961,655.5200000000001,7.216666666666666,100.0,28
Penny Marshall,13,159245000,1175245070,1016000070,inf,6.5346153846153845,84.6,545
Adam Shankman,10,427000000,1173768733,746768733,inf,6.025,90.0,163
Phillip Noyce,11,383900000,1157355478,773455478,inf,6.359090909090909,90.9,176
Kyle Balda,1,74000000,1156730962,1082730962,1463.15,6.4,100.0,22
McG,6,570000000,1147752254,577752254,97.51166666666667,5.925,83.3,368
Baz Luhrmann,6,407000000,1124485763,717485763,inf,6.95,83.3,1000
Rob Letterman,5,421500000,1118534625,697034625,293.248,6.17,100.0,11
John Woo,5,430000000,1116232475,686232475,154.54000000000002,6.18,80.0,610
Joseph Kosinski,3,460000000,1086294098,626294098,136.37666666666667,6.6000000000000005,100.0,364
David Slade,4,98950000,1081542642,982592642,inf,6.05,100.0,171
Seth MacFarlane,5,128000000,1068120307,940120307,inf,6.38,100.0,3000
Joe Wright,12,683000000,1066159360,383159360,inf,6.625,58.3,456
Barry Levinson,12,379000000,1054052003,675052003,inf,6.366666666666667,66.7,272
Peter Segal,10,478000000,1051990898,573990898,inf,6.0649999999999995,90.0,88
Mark Andrews,3,187000000,1013547571,826547571,inf,6.45,100.0,56
Adam McKay,7,341500000,1007289832,665789832,inf,6.664285714285714,100.0,285
John Curran,5,168400000,996162978,827762978,inf,6.33,60.0,43
Jaume Collet-Serra,10,309000000,990995839,681995839,256.819,6.37,100.0,174
Olivier Megaton,4,158000000,989709152,831709152,543.5725,6.325,100.0,118
Don Hall,3,214000000,981168649,767168649,503.3533333333333,7.6000000000000005,100.0,38
Justin Lin,3,310000000,973408830,663408830,inf,7.033333333333334,100.0,681
Timur Bekmambetov,10,505200000,966265802,461065802,inf,6.085,70.0,335
Rob Minkoff,5,514000000,950335162,436335162,70.874,5.720000000000001,80.0,50
Wes Craven,18,267700000,947558536,679858536,477.3922222222222,6.219444444444445,83.3,0
Michael Apted,7,381000000,945174345,564174345,inf,6.457142857142857,85.7,150
Mel Gibson,3,142000000,942074710,800074710,777.2566666666667,7.533333333333334,100.0,0
Walt Becker,4,95000000,940966923,845966923,inf,5.425,100.0,12
Jan de Bont,6,332000000,940705813,608705813,inf,5.1000000000000005,100.0,101
Frank Coraci,8,505500000,934478276,428978276,inf,5.83125,62.5,153
Jerry Zucker,6,145000000,934342771,789342771,inf,6.516666666666667,100.0,109
Peyton Reed,4,228000000,933433067,705433067,inf,6.5,100.0,235
Jon M. Chu,4,308000000,922918463,614918463,293.0875,5.675,100.0,209
Paul Feig,5,389500000,922000105,532500105,227.72600000000003,5.85,80.0,176
David Ayer,6,274000000,899680327,625680327,206.5783333333333,6.375,66.7,452
F. Gary Gray,14,307850000,898015761,590165761,535.1492857142857,6.557142857142857,92.9,473
Rob Reiner,13,319000000,896522926,577522926,inf,6.788461538461538,84.6,0
Betty Thomas,5,264000000,890913147,626913147,458.81000000000006,5.63,60.0,84
John Glen,5,157500000,882593674,725093674,470.688,6.36,100.0,46
Danny Boyle,12,230000000,881764987,651764987,inf,7.145833333333333,91.7,0
Ron Clements,3,273000000,880674099,607674099,610.9266666666667,7.25,66.7,63
Yarrow Cheney,1,75000000,875958308,800958308,1067.94,6.35,100.0,11
Ivan Reitman,8,150000000,875215708,725215708,inf,5.91875,100.0,425
James Mangold,6,347000000,868216154,521216154,inf,6.7250000000000005,83.3,446
Brian Helgeland,10,346000000,864559282,518559282,inf,6.08,80.0,241
Hayao Miyazaki,4,107177699,856490376,749312677,865.51,8.1375,100.0,6000
Tom Hooper,3,86000000,856470877,770470877,1063.3966666666665,7.516666666666667,66.7,0
Paul Verhoeven,5,375000000,854414428,479414428,132.988,6.39,80.0,719
Ted Kotcheff,4,118000000,851226672,733226672,658.74,7.225,100.0,270
David O. Russell,10,274300000,843061533,568761533,inf,6.38,80.0,737
Genndy Tartakovsky,2,165000000,831602561,666602561,406.575,6.925000000000001,100.0,266
James Gunn,5,201565000,828492956,626927956,8917.122,6.7,60.0,571
Antoine Fuqua,8,359000000,822884332,463884332,166.97125,6.91875,100.0,845
Rawson Marshall Thurber,4,127000000,822411282,695411282,610.22,6.550000000000001,100.0,43
Guillermo del Toro,4,385000000,822319988,437319988,113.17,6.7,100.0,0
Andrzej Bartkowiak,8,298000000,822276969,524276969,239.5875,5.20625,75.0,43
John Carpenter,30,288900000,820668746,531768746,inf,6.6,86.7,0
Alejandro G. IÃ±Ã¡rritu,5,180000000,817552032,637552032,inf,7.5200000000000005,100.0,0
Jonathan Mostow,5,384400000,813641531,429241531,288.07,6.44,100.0,84
Sydney Pollack,5,238000000,813501065,575501065,344.406,6.49,100.0,521
Peter Sohn,3,302500000,809244548,506744548,inf,6.583333333333333,100.0,113
John McTiernan,8,451800000,793752689,341952689,inf,6.325,75.0,323
Andrew Davis,5,264000000,792557377,528557377,244.526,6.32,80.0,99
Tim Miller,1,58000000,783112979,725112979,1250.19,7.75,100.0,84
John Landis,6,135900000,782199357,646299357,1269.8583333333333,6.733333333333333,83.3,644
Doug Walker,1,11000000,775398007,764398007,6949.07,7.6,100.0,131
Alex Proyas,5,352000000,774562458,422562458,187.058,6.65,100.0,295
Stephen Sommers,5,328500000,773154378,444654378,113.91000000000001,6.040000000000001,60.0,208
Noam Murro,2,175000000,760190470,585190470,378.53,6.375,100.0,263
Robert Stromberg,1,180000000,758539785,578539785,321.41,7.0,100.0,171
Darren Aronofsky,5,183500000,757840197,574340197,652.94,7.2299999999999995,80.0,0
Ethan Coen,8,140225000,755413744,615188744,inf,6.9125,87.5,1000
Irvin Kershner,3,54000000,753900000,699900000,inf,6.533333333333334,100.0,883
Cameron Crowe,7,359000000,748941392,389941392,99.78999999999999,6.428571428571429,42.9,488
Dan Scanlon,2,200500000,747802585,547302585,510.19,6.95,100.0,37
Peter Weir,4,258400000,740247488,481847488,427.005,7.5875,75.0,608
Tim Story,5,231000000,734124833,503124833,348.68199999999996,5.970000000000001,100.0,167
Phyllida Lloyd,2,65000000,724798336,659798336,928.525,6.324999999999999,100.0,58
Wes Ball,3,125000000,722193433,597193433,481.15000000000003,6.483333333333334,100.0,47
Ben Stiller,7,307700000,714165299,406465299,inf,5.8428571428571425,100.0,0
Kevin Costner,5,154000000,711933614,557933614,586.136,6.83,80.0,0
Mark Waters,6,260000000,702753525,442753525,226.0716666666667,6.208333333333333,83.3,70
Brian Levant,5,199000000,695769495,496769495,234.50799999999998,5.0600000000000005,100.0,32
Luc Besson,7,284700000,693846303,409146303,9066.157142857144,6.528571428571429,71.4,0
David Frankel,4,166000000,692362906,526362906,334.7275,6.4625,75.0,64
Francis Ford Coppola,11,251100000,682259114,431159114,453.69909090909096,7.131818181818182,81.8,0
Brad Peyton,3,255000000,676349747,421349747,138.56,5.1000000000000005,100.0,62
Scott Derrickson,5,218250000,670102402,451852402,251.78400000000002,6.0,100.0,301
John Moore,5,243000000,664605844,421605844,174.62400000000002,5.79,80.0,212
Andy Tennant,5,280000000,663196051,383196051,122.30800000000002,6.01,60.0,72
Woody Allen,17,209000000,661744251,452744251,inf,6.7441176470588236,70.6,11000
Matthew Vaughn,5,292500000,657923267,365423267,131.462,7.290000000000001,100.0,905
Robert Luketic,8,236000000,649887811,413887811,inf,5.925,75.0,126
Neill Blomkamp,4,224000000,649787922,425787922,231.51,7.05,100.0,662
Kirk De Micco,2,172000000,648979273,476979273,202.95000000000002,5.949999999999999,100.0,16
Les Mayfield,17,312700000,632665709,319965709,inf,5.752941176470588,70.6,10
John Singleton,7,238500000,632410492,393910492,221.2428571428571,6.392857142857143,100.0,309
Lee Tamahori,5,269100000,626393204,357293204,inf,6.45,60.0,93
Nicholas Stoller,5,153000000,626028443,473028443,411.16999999999996,6.16,100.0,89
Henry Joost,4,30015000,625584920,595569920,324006.91250000003,5.925,100.0,24
John Madden,5,122000000,619881479,497881479,644.512,6.640000000000001,100.0,108
Chris Wedge,3,195000000,615989192,420989192,250.12,5.883333333333333,100.0,77
Duncan Jones,5,192000000,614340625,422340625,inf,6.65,100.0,0
Tarsem Singh,5,261000000,609535278,348535278,121.096,6.01,100.0,763
Louis Leterrier,4,327000000,601465030,274465030,87.885,6.1125,100.0,255
Nick Cassavetes,5,135120000,594250181,459130181,14183.079999999998,6.94,100.0,415
Nathan Greno,1,260000000,591794936,331794936,127.61,7.6,100.0,15
David R. Ellis,8,208000000,586955403,378955403,inf,5.50625,87.5,160
Mark Dindal,4,282000000,576623562,294623562,inf,6.6,75.0,10
Richard Marquand,1,32350000,572700000,540350000,1670.32,8.15,100.0,37
Sam Taylor-Johnson,2,40000000,572451494,532451494,inf,5.925000000000001,100.0,456
Anne Fletcher,4,145000000,571178277,426178277,294.99,5.9125,100.0,98
Dean Parisot,6,345000000,570005811,225005811,79.93166666666667,6.3500000000000005,83.3,23
Brad Silberling,4,226000000,565313189,339313189,163.3675,6.125,50.0,52
Vicente Amorim,17,90050000,562269674,472219674,inf,6.320588235294117,76.5,6
D.J. Caruso,5,188000000,558756365,370756365,238.586,6.609999999999999,80.0,154
Florian Henckel von Donnersmarck,2,200000000,557462738,357462738,178.73,6.0,100.0,207
Harold Ramis,8,318600000,553760562,235160562,220.62,6.25625,75.0,11000
Kevin Lima,3,201000000,551488190,350488190,134.97666666666666,6.1000000000000005,66.7,36
John Lee Hancock,5,374000000,548989853,174989853,260.28200000000004,6.68,60.0,102
James Bobin,3,215000000,541400945,326400945,inf,6.6499999999999995,100.0,33
Tyler Perry,9,53000000,538553077,485553077,inf,5.544444444444444,100.0,0
Anthony Minghella,3,146000000,533788199,387788199,366.72333333333336,7.1000000000000005,100.0,333
Gavin Hood,4,290500000,533228696,242728696,95.54,6.675,75.0,151
Adrian Lyne,3,68000000,532204680,464204680,1516.0200000000002,6.45,100.0,213
Jason Reitman,5,51500000,530831516,479331516,1271.244,6.92,100.0,655
J.B. Rogers,3,66000000,528553307,462553307,940.4433333333333,5.816666666666666,66.7,6
Greg Mottola,5,133500000,527070026,393570026,304.0,6.55,100.0,99
David Silverman,1,75000000,527068851,452068851,602.76,7.15,100.0,30
Peter Cattaneo,5,27000000,524658406,497658406,inf,6.5200000000000005,60.0,11
Len Wiseman,2,138000000,524299420,386299420,325.7,7.074999999999999,100.0,235
Joseph Sargent,2,30000000,522535013,492535013,3374.6,4.15,100.0,114
Alessandro Carloni,1,145000000,521170825,376170825,259.43,6.95,100.0,5
Roger Michell,3,127000000,517610622,390610622,308.11,6.5,100.0,50
Larry Charles,4,125000000,513940710,388940710,inf,6.525,100.0,119
John R. Leonetti,4,55400000,513110431,457710431,3435.0175,4.925,100.0,40
David Zucker,5,150000000,508415950,358415950,175.982,5.25,80.0,119
Lewis Gilbert,3,57500000,507331559,449831559,939.2299999999999,6.55,100.0,43
JosÃ© Padilha,5,288000000,506778410,218778410,0.3839999999999975,6.05,40.0,294
Robert Rodriguez,12,293720000,504249439,210529439,188.27,5.820833333333333,83.3,0
James Wong,8,180500000,502430791,321930791,571.52625,5.96875,75.0,70
Gabriele Muccino,3,145000000,488346128,343346128,200.50333333333333,7.0,66.7,125
Nora Ephron,4,170000000,484501654,314501654,inf,6.2,75.0,0
Josh Trank,3,255000000,480955192,225955192,315.54333333333335,5.183333333333333,100.0,128
John Whitesell,5,102000000,476422460,374422460,inf,5.01,100.0,14
Bibo Bergeron,4,227000000,471343051,244343051,64.13,6.5875,25.0,10
Rich Moore,1,165000000,471222889,306222889,185.59,7.45,100.0,66
Neil Burger,4,165000000,462761017,297761017,inf,7.0375,100.0,168
Spike Lee,16,216400000,462729450,246329450,inf,6.434375,68.8,0
Mick Jackson,2,115000000,458480852,343480852,748.39,5.699999999999999,50.0,81
Lasse HallstrÃ¶m,7,124000000,457337943,333337943,inf,7.071428571428571,85.7,529
Darren Lynn Bousman,4,24000000,456342667,432342667,inf,6.300000000000001,100.0,163
Michael Mann,5,387000000,455367153,68367153,26.144,6.76,40.0,0
Brian De Palma,10,331500000,451524392,120024392,82.90700000000001,6.5,50.0,0
Spike Jonze,11,192900000,444832683,251932683,inf,6.659090909090909,90.9,0
James Algar,3,83138000,441641720,358503720,11546.326666666668,7.166666666666667,100.0,11
John Erick Dowdle,10,40300000,441482631,401182631,inf,5.6450000000000005,100.0,66
Chuck Russell,4,218000000,437002920,219002920,47.825,5.275,50.0,55
Roger Spottiswoode,4,232000000,436496545,204496545,46.14000000000001,6.275,50.0,55
Elizabeth Banks,3,52000000,435295608,383295608,636.86,5.966666666666666,100.0,0
Jon Amiel,5,210000000,434061456,224061456,inf,6.1,80.0,36
Victor Fleming,2,6777000,433931426,427154426,5509.965,7.85,100.0,149
Gary Shore,2,110000000,431391893,321391893,323.78000000000003,6.475,100.0,28
Tony Gilroy,3,233146652,429564773,196418121,120.5,6.3999999999999995,66.7,209
Peter Howitt,5,149000000,426873379,277873379,278.342,6.09,80.0,29
Jake Kasdan,5,135000000,423746432,288746432,232.58199999999997,6.14,60.0,52
James L. Brooks,3,250000000,417888285,167888285,145.90666666666667,6.233333333333333,33.3,274
Mike Nichols,9,267000000,416050602,149050602,inf,6.288888888888889,66.7,0
Curtis Hanson,6,163000000,414430200,251430200,inf,6.425,66.7,161
Peter Chelsom,4,203000000,413562334,210562334,168.26,5.475,75.0,23
David S. Goyer,4,142000000,413116996,271116996,261.565,5.4,100.0,687
Gary Winick,5,182150000,411032006,228882006,483.316,6.08,100.0,56
Alexander Payne,4,78000000,410234956,332234956,417.6275,7.1875,100.0,729
Guy Hamilton,5,21700000,409908445,388208445,2165.5825,6.7299999999999995,80.0,82
Paul Weitz,5,170000000,409624035,239624035,inf,5.62,60.0,80
Frank Darabont,4,175000000,407355217,232355217,139.1825,7.7375,75.0,0
Jeff Tremaine,4,51000000,406116832,355116832,786.4000000000001,6.5375,100.0,79
Will Gluck,5,115768785,405509311,289740526,448.258,6.36,100.0,87
Andrew Niccol,10,202100000,404661272,202561272,inf,6.734999999999999,80.0,487
Jonathan Demme,4,99000000,404488210,305488210,inf,6.7625,100.0,438
Tim Hill,3,137000000,401049233,264049233,153.82666666666668,5.533333333333334,66.7,25
Judd Apatow,4,171000000,399762798,228762798,189.195,6.175,75.0,0
Baltasar KormÃ¡kur,3,141000000,398467995,257467995,179.5233333333333,6.616666666666667,100.0,175
Rupert Sanders,1,170000000,396600000,226600000,133.29,5.95,100.0,274
Simon Wincer,4,49150000,396490011,347340011,inf,5.75,75.0,23
Dominic Sena,3,232000000,396488740,164488740,46.093333333333334,6.0,66.7,57
Mark Steven Johnson,3,187000000,396209163,209209163,86.99666666666667,5.616666666666667,66.7,160
Roger Donaldson,5,276000000,396019529,120019529,73.06400000000001,6.609999999999999,60.0,79
James DeMonaco,4,22000000,395544484,373544484,inf,6.275,100.0,65
Steve Oedekerk,5,106000000,390109405,284109405,inf,6.11,100.0,176
Frank Marshall,6,183000000,390005593,207005593,99.17833333333333,6.233333333333333,83.3,155
Ben Affleck,2,81500000,386350264,304850264,369.185,7.35,100.0,0
Kevin Reynolds,4,250000000,385987906,135987906,49.567499999999995,6.45,75.0,58
Richard Curtis,3,72000000,384309700,312309700,inf,7.416666666666667,100.0,628
Peter Hyams,6,312000000,380635687,68635687,20.028333333333336,5.508333333333333,33.3,0
Roman Polanski,7,206200000,379191851,172991851,220.40285714285713,7.185714285714285,85.7,2000
Wes Anderson,6,123000000,378431879,255431879,177.16333333333333,7.575,83.3,0
Stephen Frears,13,191860000,377704477,185844477,inf,6.561538461538461,76.9,350
Frank Oz,8,336000000,377627829,41627829,-5.625,6.4375,62.5,0
Michael Lembeck,3,107000000,374029438,267029438,295.17333333333335,5.916666666666667,66.7,54
Mikael HÃ¥fstrÃ¶m,4,134000000,371121418,237121418,186.35250000000002,6.4,100.0,101
Alan J. Pakula,3,145000000,369658778,224658778,208.73666666666668,6.116666666666667,100.0,79
Lawrence Guterman,2,107000000,368594053,261594053,674.435,3.6500000000000004,50.0,6
Jon Lucas,2,40000000,367872148,327872148,819.68,6.5,100.0,24
Luke Greenfield,5,99000100,367469338,268469238,11152642.154,5.75,100.0,42
Jean-Pierre Jeunet,5,193000000,365584560,172584560,310.992,7.1,40.0,0
Rob Bowman,5,201600000,360161558,158561558,65.55600000000001,6.0200000000000005,80.0,38
Robert Redford,5,206000000,359837662,153837662,203.33200000000002,6.68,60.0,0
Clay Kaytis,1,73000000,349779543,276779543,379.15,6.1,100.0,6
Tobe Hooper,9,84270000,347316535,263046535,8274.934444444445,6.483333333333333,77.8,365
Mike Gabriel,1,55000000,346079773,291079773,529.24,6.65,100.0,12
Jean-Jacques Annaud,4,224500000,345866560,121366560,118.59,7.1625,75.0,218
Bruce Beresford,4,110500000,344354305,233854305,470.21250000000003,7.025,50.0,78
Steve Carr,2,130000000,340538211,210538211,162.82,5.15,100.0,41
Tom Tykwer,5,203530010,340092167,136562157,20000097.522,6.790000000000001,100.0,670
Mel Brooks,7,53500000,338301668,284801668,1455.795,6.992857142857143,85.7,0
Seth Gordon,2,115000000,337698707,222698707,250.85500000000002,5.550000000000001,100.0,91
Joe Dante,5,182000000,335748593,153748593,599.112,6.2299999999999995,60.0,287
Albert Hughes,4,153500000,334123985,180623985,254.89,6.875,100.0,117
David Bowers,5,272000000,333780451,61780451,162.222,6.2700000000000005,60.0,42
Stephen Hopkins,4,205000000,331050800,126050800,60.0825,5.8125,100.0,81
Terry Gilliam,9,201900000,328349575,126449575,inf,6.977777777777778,77.8,0
Angelina Jolie Pitt,2,130000000,326885874,196885874,151.45,7.25,100.0,11000
