id,Title,Year,Budget,Revenue,Profit,ROI,Combined_Rating,Director,Lead_Actor,Funnel_Stage,Genre
19995,Avatar,2009,237000000,2787965087,2550965087,1076.36,7.55,James Cameron,CCH Pounder,7_Exceptional_ROI,Action
19995,Avatar,2009,237000000,2787965087,2550965087,1076.36,7.55,James Cameron,CCH Pounder,7_Exceptional_ROI,Adventure
19995,Avatar,2009,237000000,2787965087,2550965087,1076.36,7.55,James Cameron,CCH Pounder,7_Exceptional_ROI,Fantasy
19995,Avatar,2009,237000000,2787965087,2550965087,1076.36,7.55,James Cameron,CCH Pounder,7_Exceptional_ROI,Sci-Fi
285,Pirates of the Caribbean: At World's End,2007,300000000,961000000,661000000,220.33,7.0,Gore Verbinski,Johnny Depp,7_Exceptional_ROI,Action
285,Pirates of the Caribbean: At World's End,2007,300000000,961000000,661000000,220.33,7.0,Gore Verbinski,Johnny Depp,7_Exceptional_ROI,Adventure
285,Pirates of the Caribbean: At World's End,2007,300000000,961000000,661000000,220.33,7.0,Gore Verbinski,Johnny Depp,7_Exceptional_ROI,Fantasy
107985,The World's End,2013,20000000,46089287,26089287,130.45,6.9,Gore Verbinski,Johnny Depp,6_Strong_Profit,Action
107985,The World's End,2013,20000000,46089287,26089287,130.45,6.9,Gore Verbinski,Johnny Depp,6_Strong_Profit,Adventure
107985,The World's End,2013,20000000,46089287,26089287,130.45,6.9,Gore Verbinski,Johnny Depp,6_Strong_Profit,Fantasy
206647,Spectre,2015,245000000,880674609,635674609,259.46,6.55,Sam Mendes,Christoph Waltz,7_Exceptional_ROI,Action
206647,Spectre,2015,245000000,880674609,635674609,259.46,6.55,Sam Mendes,Christoph Waltz,7_Exceptional_ROI,Adventure
206647,Spectre,2015,245000000,880674609,635674609,259.46,6.55,Sam Mendes,Christoph Waltz,7_Exceptional_ROI,Thriller
49026,The Dark Knight Rises,2012,250000000,1084939099,834939099,333.98,8.05,Christopher Nolan,Tom Hardy,7_Exceptional_ROI,Action
49026,The Dark Knight Rises,2012,250000000,1084939099,834939099,333.98,8.05,Christopher Nolan,Tom Hardy,7_Exceptional_ROI,Thriller
155,The Dark Knight,2008,185000000,1004558444,819558444,443.0,8.35,Christopher Nolan,Tom Hardy,7_Exceptional_ROI,Action
155,The Dark Knight,2008,185000000,1004558444,819558444,443.0,8.35,Christopher Nolan,Tom Hardy,7_Exceptional_ROI,Thriller
49529,John Carter,2012,260000000,284139100,24139100,9.28,6.35,Andrew Stanton,Daryl Sabara,4_Break_Even,Action
49529,John Carter,2012,260000000,284139100,24139100,9.28,6.35,Andrew Stanton,Daryl Sabara,4_Break_Even,Adventure
49529,John Carter,2012,260000000,284139100,24139100,9.28,6.35,Andrew Stanton,Daryl Sabara,4_Break_Even,Sci-Fi
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Action
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Adventure
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Romance
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Action
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Adventure
559,Spider-Man 3,2007,258000000,890871626,632871626,245.3,6.05,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Romance
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Action
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Adventure
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Romance
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Action
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Adventure
557,Spider-Man,2002,139000000,821708551,682708551,491.16,6.5,Sam Raimi,J.K. Simmons,7_Exceptional_ROI,Romance
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Action
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Adventure
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Romance
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Action
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Adventure
9613,Spider,2002,0,336530303,336530303,inf,6.3,Sam Raimi,J.K. Simmons,0_No_Investment_Data,Romance
38757,Tangled,2010,260000000,591794936,331794936,127.61,7.6,Nathan Greno,Brad Garrett,6_Strong_Profit,Adventure
