Year,Movie Count,Avg Budget,Avg Revenue,Avg Profit,Avg ROI,Avg Rating,Success Rate,Avg Social
1916,1,385907.0,8394751.0,8008844.0,2075.33,7.7,100.0,1376.0
1925,1,245000.0,22000000.0,21755000.0,8879.59,7.15,100.0,28563.0
1927,1,92620000.0,650422.0,-91969578.0,-99.3,8.15,0.0,12959.0
1929,2,189500.0,2183975.0,1994475.0,inf,6.725,100.0,841.0
1930,1,3950000.0,8000000.0,4050000.0,102.53,6.95,100.0,913.0
1932,1,4.0,25.0,21.0,525.0,6.4,100.0,1554.0
1933,2,319500.0,2240500.0,1921000.0,709.795,6.35,100.0,1192.5
1934,1,325000.0,4500000.0,4175000.0,1284.62,7.95,100.0,1504.0
1935,1,609000.0,3202000.0,2593000.0,425.78,7.6,100.0,1834.0
1936,2,600000.5,5618000.0,5017999.5,425000014.0,7.65,100.0,1261.0
1937,2,744211.5,92462743.0,91718531.5,12324.26,7.699999999999999,50.0,875.5
1938,2,1822368.0,5716550.5,3894182.5,225.965,6.375,100.0,13462.5
1939,3,2759000.0,147843808.66666666,145084808.66666666,3853.31,7.916666666666667,100.0,12402.0
1940,5,1633600.0,36558400.0,34924800.0,1855.2849999999999,7.13,80.0,4429.6
1941,1,1250000.0,6000000.0,4750000.0,380.0,7.3,100.0,1802.0
1942,2,868000.0,138954825.0,138086825.0,16081.315,7.675,100.0,13430.5
1944,2,2494000.0,6127500.0,3633500.0,148.03,6.6,100.0,13318.0
1945,4,1227500.0,6783000.0,5555500.0,489.81666666666666,7.112500000000001,75.0,4262.75
1946,3,3760000.0,17898041.333333332,14138041.333333334,489.82,7.516666666666667,100.0,1764.6666666666667
1947,3,1433333.3333333333,2602642.3333333335,1169309.0,95.17,6.983333333333333,33.3,1363.6666666666667
1948,3,2233333.3333333335,3989333.3333333335,1756000.0,90.14500000000001,7.033333333333334,33.3,19398.333333333332
1949,2,1300000.0,6600000.0,5300000.0,458.75,6.975,100.0,1753.0
1950,1,3768785.0,8000000.0,4231215.0,112.27,6.25,100.0,20883.0
1951,3,4116666.6666666665,16333333.333333334,12216666.666666666,328.78,7.283333333333334,100.0,7130.333333333333
1952,4,1817700.0,12800000.0,10982300.0,659.7566666666667,7.5375,75.0,3185.5
1953,4,1802500.0,20000000.0,18197500.0,1346.87,6.925,100.0,1699.5
1954,5,3582000.0,16254368.2,12672368.2,399.308,7.369999999999999,80.0,5545.4
1955,2,600000.0,3500000.0,2900000.0,483.33,7.5,50.0,7525.5
1956,3,3166666.6666666665,11266666.666666666,8100000.0,397.0366666666667,6.316666666666666,100.0,11192.666666666666
1957,2,1675000.0,17150000.0,15475000.0,597.855,8.25,100.0,21617.5
1958,1,3000000.0,17570324.0,14570324.0,485.68,7.85,100.0,823.0
1959,3,3794616.0,16666666.666666666,12872050.666666666,392.2033333333333,7.1499999999999995,100.0,4639.666666666667
1960,3,2268982.6666666665,22466666.666666668,20197684.0,1615.1866666666667,8.049999999999999,100.0,12213.0
1961,5,3580000.0,14891364.4,11311364.4,263.66999999999996,7.42,100.0,3653.6
1962,8,4401500.0,27415653.875,23014153.875,1034.10125,7.074999999999999,87.5,5677.125
1963,8,8712625.0,35730404.5,27017779.5,1096.1975,7.06875,87.5,3533.0
1964,10,5298000.0,43092057.4,37794057.4,9584.285555555554,7.25,80.0,8527.3
1965,8,6100000.0,69344564.125,63244564.125,1092.0433333333333,7.1875,37.5,4847.75
